date,year,name,isholiday,holidaycategory,description
20180101,2018,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日
20180106,2018,,是,星期六、星期日,
20180107,2018,,是,星期六、星期日,
20180113,2018,,是,星期六、星期日,
20180114,2018,,是,星期六、星期日,
20180120,2018,,是,星期六、星期日,
20180121,2018,,是,星期六、星期日,
20180127,2018,,是,星期六、星期日,
20180128,2018,,是,星期六、星期日,
20180203,2018,,是,星期六、星期日,
20180204,2018,,是,星期六、星期日,
20180210,2018,,是,星期六、星期日,
20180211,2018,,是,星期六、星期日,
20180215,2018,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日。
20180216,2018,春節,是,放假之紀念日及節日,全國各機關學校於二月十六日至二月十八日放假三日，其中春節初二、初三適逢星期六、日，分別於二月十九日及二月二十日各補假一日。
20180217,2018,春節,是,放假之紀念日及節日,全國各機關學校於二月十六日至二月十八日放假三日，其中春節初二、初三適逢星期六、日，分別於二月十九日及二月二十日各補假一日。
20180218,2018,春節,是,放假之紀念日及節日,全國各機關學校於二月十六日至二月十八日放假三日，其中春節初二、初三適逢星期六、日，分別於二月十九日及二月二十日各補假一日。
20180219,2018,,是,補假,
20180220,2018,,是,補假,
20180224,2018,,是,星期六、星期日,
20180225,2018,,是,星期六、星期日,
20180228,2018,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20180303,2018,,是,星期六、星期日,
20180304,2018,,是,星期六、星期日,
20180310,2018,,是,星期六、星期日,
20180311,2018,,是,星期六、星期日,
20180317,2018,,是,星期六、星期日,
20180318,2018,,是,星期六、星期日,
20180324,2018,,是,星期六、星期日,
20180325,2018,,是,星期六、星期日,
20180331,2018,,否,補行上班日,
20180401,2018,,是,星期六、星期日,
20180404,2018,兒童節,是,放假之紀念日及節日,全國各機關學校放假一日。
20180405,2018,民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整四月六日為放假日，並於三月三十一日補行上班一日。
20180406,2018,,是,調整放假日,
20180407,2018,,是,星期六、星期日,
20180408,2018,,是,星期六、星期日,
20180414,2018,,是,星期六、星期日,
20180415,2018,,是,星期六、星期日,
20180421,2018,,是,星期六、星期日,
20180422,2018,,是,星期六、星期日,
20180428,2018,,是,星期六、星期日,
20180429,2018,,是,星期六、星期日,
20180501,2018,勞動節,是,特定節日,勞工放假一日。
20180505,2018,,是,星期六、星期日,
20180506,2018,,是,星期六、星期日,
20180512,2018,,是,星期六、星期日,
20180513,2018,,是,星期六、星期日,
20180519,2018,,是,星期六、星期日,
20180520,2018,,是,星期六、星期日,
20180526,2018,,是,星期六、星期日,
20180527,2018,,是,星期六、星期日,
20180602,2018,,是,星期六、星期日,
20180603,2018,,是,星期六、星期日,
20180609,2018,,是,星期六、星期日,
20180610,2018,,是,星期六、星期日,
20180616,2018,,是,星期六、星期日,
20180617,2018,,是,星期六、星期日,
20180618,2018,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
20180623,2018,,是,星期六、星期日,
20180624,2018,,是,星期六、星期日,
20180630,2018,,是,星期六、星期日,
20180701,2018,,是,星期六、星期日,
20180707,2018,,是,星期六、星期日,
20180708,2018,,是,星期六、星期日,
20180714,2018,,是,星期六、星期日,
20180715,2018,,是,星期六、星期日,
20180721,2018,,是,星期六、星期日,
20180722,2018,,是,星期六、星期日,
20180728,2018,,是,星期六、星期日,
20180729,2018,,是,星期六、星期日,
20180804,2018,,是,星期六、星期日,
20180805,2018,,是,星期六、星期日,
20180811,2018,,是,星期六、星期日,
20180812,2018,,是,星期六、星期日,
20180818,2018,,是,星期六、星期日,
20180819,2018,,是,星期六、星期日,
20180825,2018,,是,星期六、星期日,
20180826,2018,,是,星期六、星期日,
